-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     multihead_attention_detailed        46.11%       1.416ms        98.58%       3.027ms       3.027ms       1.198ms        39.46%       3.036ms       3.036ms             1  
                                     aten::linear         4.36%     133.984us        21.68%     665.745us     166.436us      39.000us         1.28%     704.000us     176.000us             4  
                                      aten::addmm         6.67%     204.950us         9.09%     279.174us      69.793us     600.000us        19.76%     600.000us     150.000us             4  
                                      aten::chunk         0.83%      25.603us        10.41%     319.796us     159.898us       8.000us         0.26%     436.000us     218.000us             2  
                                      aten::split         2.65%      81.396us         9.29%     285.304us     142.652us      17.000us         0.56%     428.000us     214.000us             2  
                                     aten::narrow         1.93%      59.313us         5.80%     178.026us      29.671us      24.000us         0.79%     411.000us      68.500us             6  
                                      aten::slice         1.90%      58.304us         3.03%      93.040us      15.507us     375.000us        12.35%     387.000us      64.500us             6  
                                        aten::mul         1.48%      45.516us         1.88%      57.748us      57.748us     205.000us         6.75%     205.000us     205.000us             1  
                                    aten::softmax         0.34%      10.366us         1.59%      48.790us      48.790us     200.000us         6.59%     205.000us     205.000us             1  
                                       aten::mean         1.43%      43.861us         1.92%      58.981us      58.981us     200.000us         6.59%     202.000us     202.000us             1  
                                  aten::transpose         3.23%      99.142us         4.96%     152.217us      16.913us      36.000us         1.19%      54.000us       6.000us             9  
                                          aten::t         1.60%      49.009us         4.13%     126.691us      31.673us      16.000us         0.53%      40.000us      10.000us             4  
                                 aten::as_strided         0.79%      24.132us         0.79%      24.132us       1.508us      32.000us         1.05%      32.000us       2.000us            16  
                                       aten::view         1.69%      51.906us         1.69%      51.906us       4.325us      23.000us         0.76%      23.000us       1.917us            12  
                                        aten::bmm         2.72%      83.440us         3.34%     102.606us      51.303us      23.000us         0.76%      23.000us      11.500us             2  
                                 aten::contiguous         0.50%      15.413us         3.50%     107.586us     107.586us       4.000us         0.13%      22.000us      22.000us             1  
                                    aten::reshape         0.78%      24.058us         1.55%      47.545us      15.848us      13.000us         0.43%      19.000us       6.333us             3  
                                      aten::clone         0.70%      21.447us         2.86%      87.914us      87.914us       6.000us         0.20%      18.000us      18.000us             1  
                                 aten::empty_like         0.33%      10.119us         0.80%      24.482us      24.482us       4.000us         0.13%       6.000us       6.000us             1  
                                      aten::copy_         0.78%      23.853us         1.05%      32.336us      32.336us       6.000us         0.20%       6.000us       6.000us             1  
                                   aten::_softmax         0.82%      25.310us         1.09%      33.599us      33.599us       5.000us         0.16%       5.000us       5.000us             1  
                                      aten::empty         0.33%      10.121us         0.33%      10.121us      10.121us       2.000us         0.07%       2.000us       2.000us             1  
                                  cudaEventRecord        12.20%     374.527us        12.20%     374.527us       2.341us       0.000us         0.00%       0.000us       0.000us           160  
                                  cudaMemsetAsync         0.73%      22.262us         0.73%      22.262us       5.566us       0.000us         0.00%       0.000us       0.000us             4  
    cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.49%      15.019us         0.49%      15.019us       3.755us       0.000us         0.00%       0.000us       0.000us             4  
                                 cudaLaunchKernel         3.07%      94.155us         3.07%      94.155us       9.415us       0.000us         0.00%       0.000us       0.000us            10  
                            cudaDeviceSynchronize         1.55%      47.463us         1.55%      47.463us      23.732us       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.071ms
Self CUDA time total: 3.036ms
