GPU,Implementation,M,N,K,Density,Time_ms,Throughput_GFlops,Verification
NVIDIA GeForce RTX 2080 Ti,Naive,32,32,32,1,1.67936,0.0390244,PASSED
NVIDIA GeForce RTX 2080 Ti,Shared Memory,32,32,32,1,0.036096,1.8156,PASSED
NVIDIA GeForce RTX 2080 Ti,Tensor Cores,32,32,32,1,0.034016,1.92662,PASSED
NVIDIA GeForce RTX 2080 Ti,cuBLAS,32,32,32,1,164.09,0.000399392,PASSED
NVIDIA GeForce RTX 2080 Ti,CUTLASS,32,32,32,1,0.361632,0.181223,PASSED
NVIDIA GeForce RTX 2080 Ti,CUTLASS Tensor Cores,32,32,32,1,0.233376,0.280817,PASSED
NVIDIA GeForce RTX 2080 Ti,Naive,1024,1024,1024,1,1.96432,1093.25,PASSED
NVIDIA GeForce RTX 2080 Ti,Shared Memory,1024,1024,1024,1,1.46061,1470.27,PASSED
NVIDIA GeForce RTX 2080 Ti,Tensor Cores,1024,1024,1024,1,2.32826,922.357,PASSED
NVIDIA GeForce RTX 2080 Ti,cuBLAS,1024,1024,1024,1,14.5653,147.439,PASSED
NVIDIA GeForce RTX 2080 Ti,CUTLASS,1024,1024,1024,1,0.452064,4750.4,PASSED
NVIDIA GeForce RTX 2080 Ti,CUTLASS Tensor Cores,1024,1024,1024,1,2.8393,756.344,PASSED
NVIDIA GeForce RTX 2080 Ti,Shared Memory,8192,8192,8192,1,586.89,1873.46,PASSED
NVIDIA GeForce RTX 2080 Ti,Tensor Cores,8192,8192,8192,1,791.638,1388.91,FAILED
NVIDIA GeForce RTX 2080 Ti,cuBLAS,8192,8192,8192,1,88.2789,12455,PASSED
NVIDIA GeForce RTX 2080 Ti,CUTLASS,8192,8192,8192,1,103.152,10659.1,PASSED
NVIDIA GeForce RTX 2080 Ti,CUTLASS Tensor Cores,8192,8192,8192,1,796.823,1379.87,FAILED
NVIDIA GeForce RTX 2080 Ti,Naive,1024,2048,1024,1,2.95933,1451.33,PASSED
NVIDIA GeForce RTX 2080 Ti,Shared Memory,1024,2048,1024,1,2.10438,2040.96,PASSED
NVIDIA GeForce RTX 2080 Ti,Tensor Cores,1024,2048,1024,1,3.2184,1334.5,PASSED
NVIDIA GeForce RTX 2080 Ti,cuBLAS,1024,2048,1024,1,10.9073,393.77,PASSED
NVIDIA GeForce RTX 2080 Ti,CUTLASS,1024,2048,1024,1,0.56048,7663.02,PASSED
NVIDIA GeForce RTX 2080 Ti,CUTLASS Tensor Cores,1024,2048,1024,1,3.7223,1153.85,PASSED
