GPU,Implementation,M,N,Time_ms,Throughput_GBps,Verification
NVIDIA GeForce RTX 2080 Ti,Naive,32,32,0.311488,0.0244934,PASSED
NVIDIA GeForce RTX 2080 Ti,Shared,32,32,0.022336,0.341574,PASSED
NVIDIA GeForce RTX 2080 Ti,Swizzled,32,32,0.022912,0.332987,PASSED
NVIDIA GeForce RTX 2080 Ti,Vectorized,32,32,0.02096,0.363998,PASSED
NVIDIA GeForce RTX 2080 Ti,WarpShuffle,32,32,0.038368,0.198848,PASSED
NVIDIA GeForce RTX 2080 Ti,cuBLAS,32,32,11.5748,0.000659137,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Naive,32,32,0.021376,0.356914,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Shared,32,32,0.014272,0.534571,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Swizzled,32,32,0.015168,0.502993,PASSED
NVIDIA GeForce RTX 2080 Ti,Naive,1024,1024,0.06352,122.993,PASSED
NVIDIA GeForce RTX 2080 Ti,Shared,1024,1024,0.030208,258.624,PASSED
NVIDIA GeForce RTX 2080 Ti,Swizzled,1024,1024,0.068576,113.925,PASSED
NVIDIA GeForce RTX 2080 Ti,Vectorized,1024,1024,0.01568,498.246,PASSED
NVIDIA GeForce RTX 2080 Ti,WarpShuffle,1024,1024,0.417088,18.7311,PASSED
NVIDIA GeForce RTX 2080 Ti,cuBLAS,1024,1024,0.024768,315.427,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Naive,1024,1024,0.064768,120.623,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Shared,1024,1024,0.026656,293.086,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Swizzled,1024,1024,0.027744,281.592,PASSED
NVIDIA GeForce RTX 2080 Ti,Naive,8192,8192,3.51238,142.353,PASSED
NVIDIA GeForce RTX 2080 Ti,Shared,8192,8192,1.49798,333.782,PASSED
NVIDIA GeForce RTX 2080 Ti,Swizzled,8192,8192,3.5631,140.327,PASSED
NVIDIA GeForce RTX 2080 Ti,Vectorized,8192,8192,0.357376,1399.09,PASSED
NVIDIA GeForce RTX 2080 Ti,WarpShuffle,8192,8192,26.785,18.6672,PASSED
NVIDIA GeForce RTX 2080 Ti,cuBLAS,8192,8192,1.10762,451.42,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Naive,8192,8192,3.54106,141.201,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Shared,8192,8192,1.50093,333.127,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Swizzled,8192,8192,1.51059,330.996,PASSED
NVIDIA GeForce RTX 2080 Ti,Naive,1024,2048,0.115968,134.735,PASSED
NVIDIA GeForce RTX 2080 Ti,Shared,1024,2048,0.058304,267.992,PASSED
NVIDIA GeForce RTX 2080 Ti,Swizzled,1024,2048,0.126112,123.898,PASSED
NVIDIA GeForce RTX 2080 Ti,Vectorized,1024,2048,0.026176,596.921,PASSED
NVIDIA GeForce RTX 2080 Ti,WarpShuffle,1024,2048,0.814944,19.1731,PASSED
NVIDIA GeForce RTX 2080 Ti,cuBLAS,1024,2048,2.04944,7.62403,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Naive,1024,2048,0.125184,124.816,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Shared,1024,2048,0.049248,317.272,PASSED
NVIDIA GeForce RTX 2080 Ti,CuTe_Swizzled,1024,2048,0.047392,329.697,PASSED
